"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Prothom Alo","1","0","Bangladesh News","0"
"0","","0","Prothom Alo","1","0","Latest News","0"
"0","","0","","5","0","","0"
"0","","0","Prothom Alo","1","0","Search","0"
"0","","0","Prothom Alo","1","0","Login","0"
"0","","0","Prothom Alo","1","0","Politics News","0"
